id,page,headword,pos,gloss,phonetic,example_nandi,example_english,concern,reviewer_action,corrected_headword,corrected_pos,corrected_gloss,corrected_phonetic,corrected_example_nandi,corrected_example_english,splits_into,reviewer_notes,reviewer_name
p102_ki_ga_vt,102,ki-ga,verb_transitive,"to delay (tr.), lengthen stay of, detain",_ki:-ka,Kegaa.,Iga ak ine! (S/he) delayed me. Delay (him/her) then!.,CLEAN,,,,,,,,,,
p103_kabiugit_n,103,kabiugit,noun,"[cf. ukta hump of ox] nape of neck; backbone of cow, near the neck",_ka:p-yu:k-it ; _ka:pyu:k,Mekwer teta kabiuk.,Don't hit a cow on the nape of the neck.,HAS-GHOSTS,,,,,,,,,,
p103_kabochek_n,103,kabochek,noun,dandruff,_ka:po:c-e:k ; _ka:pô:c,,,CLEAN,,,,,,,,,,
p103_kabonjoret_n,103,kabonjoret,noun,gizzard (also kobonjoret). kabonjoret ab ingokiet gizzard of a chicken,_kap6nc6r-e:t ; _kap6ncor; _kaponc6r-o:s-ya ; _kaponc6r-o:s-yek,,,CLEAN,,,,,,,,,,
p103_kabor_n,103,kabor,noun,ash heap,_ka:p-or,,Kende keliek kabor. (S/he) put (her/his) feet in the ashes.,CLEAN,,,,,,,,,,
p103_kabuna_n,103,kabuna,noun,governor,_kapuna,,,CLEAN,,,,,,,,,,
p103_kabwalda_n,103,kabwalda,noun,1. duodenal ulcer. 2. umbilical cord,_ka:pwal-ta ; _ka:pwal; ka:pwal-wa ; ka:pwalwe:k,,,CLEAN,,,,,,,,,,
p103_kabwalit_n,103,kabwalit,noun,"navel, umbilicus",_ka:p-wa:l-it ; _ka:pwa:l,,Kabwareng' Kabwareng' prn.,HAS-GHOSTS,,,,,,,,,,
p103_kabwatet_n,103,kabwatet,noun,thought. ki-gachi v,_ka:-bwa:t-et ; _ka:- bwa:t-6; ka:-bwa:t-u:t ; ka:-bwa:tu:t-ik,,to feel bloated. ke-gachi-it v.incep.,GLOSS-LEAK,,,,,,,,,,
p103_kachililet_n,103,kachililet,noun,"slipping away, getting away kachililet ab kiplenkwet the slipping away of the hare",_ka:-ciH:l-et ; _ka:- cili:l-o,,,CLEAN,,,,,,,,,,
p103_kaeretit_n,103,kaeretit,noun,"nuisance, menace, ki-gaga v",_ka:-ere:t-it ; _ka:-ere:t5,make a clamour.,Igogoi bik. The people are making a clamour.,HAS-GHOSTS|GLOSS-LEAK,,,,,,,,,,
p104_kainet_n,104,kainet,noun,name,_ka:yn-e:t ; _ka:yn-a; _ka:yn-ay ; _ka:yn-a-i:k,,"Sirei kainet. (S/he) is signing a name,",CLEAN,,,,,,,,,,
p104_kaita_n,104,kaita,noun,"1. (his) wife (sg. only), kainyu my wife",_ka:y-ta ; _ka:y; ka:y-wa ; ka:y-we:k,,"2. home, kaitanyu my house",CLEAN,,,,,,,,,,
p104_kaitit_a,104,kaitit,adjective,cold,_kaytit ; kaytit(-e:n),Koititen bek.,The water is cold.,HAS-GHOSTS,,,,,,,,,,
